id;institutionType;name;localization;website;email;phone;capacity;kidsEnrolled;basicPricePerMonth;extendedStayOver10H;basicPricePerHour;foodPricePerMonth;foodPricePerDay;discounts;openingHours;isAdaptedToDisabledChildren;operatingEntityName;operatingEntityAddress;operatingEntityNIP;operatingEntityREGON;operatingEntityRegNoPosition;operatingEntityWebsite;businessActivitySuspended;voivodeship;county;city;address;latitude;longitude
2013;Klub dziecięcy;Klub Malucha NUBO III;ŁÓDZKIE > Powiat Łódź > Łódź-Śródmieście > Łódź-Śródmieście, delegatura ul.  Gdańska 145 lok. B;www.nubo.edu.pl ;biuro@fundacja-spin.pl;797984406;30;16.0;1350.0 zł;;;;18.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ;NIE;Fundacja SPIN;ul.  Gdańska 145 90-536 Łódź-Śródmieście, Łódź-Śródmieście, delegatura;5732852113.0;360235394.0;18218/P;www.fundacja-spin.pl;NIE;ŁÓDZKIE ;Powiat Łódź ;Łódź-Śródmieście ;Łódź-Śródmieście, delegatura ul.  Gdańska 145 lok. B;51.7565661;19.4508116
2014;Żłobek;Niepubliczny Żłobek Beztoskie Maluchy;MAZOWIECKIE > Powiat Warszawa > Warszawa - Praga-Południe > Warszawa - Praga-Południe, dzielnica m. st. Warszawy ul. Marii Rodziewiczówny 1 lok. U10;www.beztroskiemaluchy.pl;beztroskiemaluchy@gmail.com;501025195, 505899820;40;32.0;1750.0 zł;;;;19.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:30 ;NIE;Niepubliczny Żłobek Beztroskie Maluchy Gawryszewska i Dąbrowska s.c.;ul.  Łukowska 1 lok. U10 04-113 Warszawa - Praga-Południe, Warszawa - Praga-Południe, dzielnica m. st. Warszawy;9522188639.0;381701084.0;14923/P;www.beztroskiemaluchy.pl;NIE;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Praga-Południe ;Warszawa - Praga-Południe, dzielnica m. st. Warszawy ul. Marii Rodziewiczówny 1 lok. U10;52.2343004;21.1126951
2015;Żłobek;Niepubliczny Żłobek Puchatek;POMORSKIE > Powiat wejherowski > Rumia > Rumia, miasto ul.  Katowicka 17C;www.żłobek-puchatka.pl;puchatekprzedszkole@wp.pl;510105119;45;29.0;1310.0 zł;;;;14.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-18:00 ;TAK;Niepubliczne Przedszkole Artystyczno- Językowe Puchatek Elżbieta Muszyńska;;9211099106.0;950158895.0;12385/P;www.przedszkole-puchatka.pl;NIE;POMORSKIE ;Powiat wejherowski ;Rumia ;Rumia, miasto ul.  Katowicka 17C;54.56566429999999;18.4136755
2016;Klub dziecięcy;Klubik z klasą;MAZOWIECKIE > Powiat przasnyski > Przasnysz > Przasnysz, miasto ul. Marszałka Józefa Piłsudskiego 75;;kontakt@klubikzklasa.edu.pl;579633900;30;23.0;900.0 zł;;;;13.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;Lumaland sp. z o.o.;ul. Marszałka Józefa Piłsudskiego 75 06-300 Przasnysz, Przasnysz, miasto;7611561636.0;380465954.0;19294/P;;NIE;MAZOWIECKIE ;Powiat przasnyski ;Przasnysz ;Przasnysz, miasto ul. Marszałka Józefa Piłsudskiego 75;53.018831;20.87859
2017;Żłobek;Żłobek Miejski w Wolinie;ZACHODNIOPOMORSKIE > Powiat kamieński > Wolin > Wolin, miasto ul.  Wiejska 10;;zlobek@gminawolin.pl;509038799;44;42.0;678.72 zł;40.0 zł;;;9.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% Zniżka - za pierwszy miesiąc pobytu nowoprzyjętego dziecka: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;Gmina Wolin;ul.  Zamkowa 23 72-510 Wolin, Wolin, miasto;9860164852.0;811685510.0;19295/P;www.gminawolin.pl;NIE;ZACHODNIOPOMORSKIE ;Powiat kamieński ;Wolin ;Wolin, miasto ul.  Wiejska 10;53.846461;14.604819
2018;Klub dziecięcy;Zespół Klubów Dziecięcych w Międzyrzeczu - Klub Dziecięcy Nr 2;LUBUSKIE > Powiat międzyrzecki > Międzyrzecz > Międzyrzecz, miasto ul. Jana Zamoyskiego 3;;klubdzieciecy@miedzyrzecz.pl;534817000;24;24.0;500.0 zł;50.0 zł;;;12.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;Gmina Międzyrzecz;ul.  Rynek 1 66-300 Międzyrzecz, Międzyrzecz, miasto;5960006553.0;210966846.0;19296/P;www.miedzyrzecz.pl;NIE;LUBUSKIE ;Powiat międzyrzecki ;Międzyrzecz ;Międzyrzecz, miasto ul. Jana Zamoyskiego 3;52.4437966;15.5689381
2019;Żłobek;"Gminny Żłobek ,,Maguś"" w Magnuszewie ";MAZOWIECKIE > Powiat kozienicki > Magnuszew > Magnuszew, wieś ul.  Bohaterów Września 10; http://magus.magnuszew.edu.pl/;zlobek@magus.magnuszew.edu.pl;798 364 435;32;32.0;700.0 zł;45.0 zł;;;11.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;Gmina Magnuszew;ul.  Saperów 24 26-910 Magnuszew, Magnuszew, wieś;8121914938.0;670223830.0;19330/P;www.magnuszew.pl;NIE;MAZOWIECKIE ;Powiat kozienicki ;Magnuszew ;Magnuszew, wieś ul.  Bohaterów Września 10;51.766134;21.3833153
2020;Żłobek;Gminny Żłobek w Strzelcach Małych;MAŁOPOLSKIE > Powiat brzeski > Szczurowa > Strzelce Małe, wieś Strzelce Małe, wieś 90;;biuro@zlobek.szczurowa.pl;603269953;17;17.0;600.0 zł;50.0 zł;;;8.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;TAK;Gmina Szczurowa;ul.  Lwowska 2 32-820 Szczurowa, Szczurowa, wieś;8691186401.0;548880.0;19298/P;www.szczurowa.pl;NIE;MAŁOPOLSKIE ;Powiat brzeski ;Szczurowa ;Strzelce Małe, wieś Strzelce Małe, wieś 90;50.1259471;20.5907736
2021;Klub dziecięcy;"""Kącik Skrzata""- Gminny Klub Malucha";WIELKOPOLSKIE > Powiat koniński > Golina > Golina, miasto ul.  Wolności 20;www.kacik-skrzata.pl;klubmalucha@golina.pl;603476815;19;19.0;500.0 zł;30.0 zł;;;13.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;Gmina Golina;ul.  Nowa 1 62-590 Golina, Golina, miasto;6652733571.0;311019059.0;19350/P;www.golina.pl;NIE;WIELKOPOLSKIE ;Powiat koniński ;Golina ;Golina, miasto ul.  Wolności 20;52.243569;18.0874354
2022;Żłobek;"Żłobek Gminny ""Maluch"" w Białym Borze";ZACHODNIOPOMORSKIE > Powiat szczecinecki > Biały Bór > Biały Bór, miasto ul.  Słupska 6;;maluch@bialybor.com.pl;947127318;15;14.0;350.0 zł;40.0 zł;;;15.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:00 ;NIE;Gmina Biały Bór;ul.  Słupska 10 78-425 Biały Bór, Biały Bór, miasto;6731775813.0;330920601.0;19192/P;www.bialybor.com.pl;NIE;ZACHODNIOPOMORSKIE ;Powiat szczecinecki ;Biały Bór ;Biały Bór, miasto ul.  Słupska 6;53.8998341;16.8343992
2023;Żłobek;"GMINNY ŻŁOBEK ""DZIECIĘCY ZAKĄTEK""";ZACHODNIOPOMORSKIE > Powiat sławieński > Darłowo > Rusko, wieś Rusko, wieś 8A;;zlobek@ugdarlowo.pl;605252006;33;33.0;400.0 zł;50.0 zł;;;9.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Gmina Darłowo;ul. Jana Henryka Dąbrowskiego 4 76-150 Darłowo, Darłowo, miasto;6691882252.0;330017901.0;19290/P;http://www.gminadarlowo.pl/;NIE;ZACHODNIOPOMORSKIE ;Powiat sławieński ;Darłowo ;Rusko, wieś Rusko, wieś 8A;54.3978692;16.4136717
2024;Żłobek;Żłobek Niepubliczny Baśniowy Lasek;WARMIŃSKO-MAZURSKIE > Powiat ełcki > Ełk > Ełk, miasto ul. Jana Kochanowskiego 44 lok. U2;www.basniowylasek.elk.pl;india30@poczta.fm;695623221;63;45.0;800.0 zł;;;300.0 zł;;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Samotne wychowanie dziecka: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ;TAK;Żłobek Niepubliczny Baśniowy Lasek;ul. Jana Kochanowskiego 44 lok. U2 19-300 Ełk, Ełk, miasto;8481043581.0;367720980.0;19292/P;www.basniowylasek.elk.pl;NIE;WARMIŃSKO-MAZURSKIE ;Powiat ełcki ;Ełk ;Ełk, miasto ul. Jana Kochanowskiego 44 lok. U2;53.8111975;22.3648986
2025;Żłobek;Żłobek im. Aniołów Stróżów;WIELKOPOLSKIE > Powiat Poznań > Poznań-Wilda > Poznań-Wilda, delegatura ul.  Wierzbięcice 45;http://aniol-stroz-przedszkole.pl/%C5%BC%C5%82obek;zlobek.aniol.stroz@gmail.com;515048456;20;20.0;1160.0 zł;;;;14.0 zł;Zniżka - Samotne wychowanie dziecka: 20.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;Parafia Maryi Królowej;rynek  Wildecki 4 61-558 Poznań-Wilda, Poznań-Wilda, delegatura;7831244151.0;40121340.0;19328/P;;NIE;WIELKOPOLSKIE ;Powiat Poznań ;Poznań-Wilda ;Poznań-Wilda, delegatura ul.  Wierzbięcice 45;52.3937724;16.9210545
2026;Klub dziecięcy;"Niepubliczny Klub Dziecięcy ""Puchatek""";OPOLSKIE > Powiat strzelecki > Strzelce Opolskie > Strzelce Opolskie, miasto pl.  Plac Mikołaja Kopernika 1;www.zlobekstrzelce.pl;biuro@zlobekstrzelce.pl;48883964040;10;10.0;1600.0 zł;50.0 zł;;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ;TAK;AS Aleksandra Berlak;;7561981370.0;367231092.0;18109/P;;NIE;OPOLSKIE ;Powiat strzelecki ;Strzelce Opolskie ;Strzelce Opolskie, miasto pl.  Plac Mikołaja Kopernika 1;50.512642;18.305604
2027;Klub dziecięcy;Zespół Klubów Dziecięcych w Międzyrzeczu - Klub Dziecięcy Nr 1;LUBUSKIE > Powiat międzyrzecki > Międzyrzecz > Międzyrzecz, miasto ul. Jana Zamoyskiego 3;;klubdzieciecy@miedzyrzecz.pl;534817000;24;24.0;500.0 zł;50.0 zł;;;12.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;Gmina Międzyrzecz;ul.  Rynek 1 66-300 Międzyrzecz, Międzyrzecz, miasto;5960006553.0;210966846.0;19296/P;www.miedzyrzecz.pl;NIE;LUBUSKIE ;Powiat międzyrzecki ;Międzyrzecz ;Międzyrzecz, miasto ul. Jana Zamoyskiego 3;52.4437966;15.5689381
2028;Żłobek;Żłobek Publiczny - Gminny Żłobek w Złotnikach Kujawskich;KUJAWSKO-POMORSKIE > Powiat inowrocławski > Złotniki Kujawskie > Złotniki Kujawskie, wieś ul.  Strażacka 9;do2nza.webwave.dev;zlobekzlotniki@interia.pl;881-326-256;24;24.0;698.0 zł;20.0 zł;;;8.2 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ;TAK;Gmina wiejska Złotniki Kujawskie;ul.  Powstańców Wielkopolskich 6 88-180 ZŁOTNIKI KUJAWSKIE, Złotniki Kujawskie, wieś;5562561930.0;92350808.0;19297/P;do2nza.webwave.dev;NIE;KUJAWSKO-POMORSKIE ;Powiat inowrocławski ;Złotniki Kujawskie ;Złotniki Kujawskie, wieś ul.  Strażacka 9;52.8978085;18.1476794
2029;Klub dziecięcy;"Klub Dziecięcy ""PUCHATEK""";ŚLĄSKIE > Powiat bielski > Bestwina > Kaniów, wieś ul.  Batalionów Chłopskich 15a;;klubpuchatek@bestwina.pl;532391045;30;30.0;600.0 zł;;;;12.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ;TAK;Gmina Bestwina;ul.  Krakowska 111 43-512 Bestwina, Bestwina, wieś;6521708710.0;276258144.0;19299/P;www.bestwina.pl;NIE;ŚLĄSKIE ;Powiat bielski ;Bestwina ;Kaniów, wieś ul.  Batalionów Chłopskich 15a;49.9400089;19.048384
2030;Żłobek;"Żłobek Gminny ""Tęczowa Kraina"" w Legnickim Polu";DOLNOŚLĄSKIE > Powiat legnicki > Legnickie Pole > Legnickie Pole, wieś ul.  Kossak-Szczuckiej 3;;zlobek@legnickiepole.pl;786940851;129;;560.0 zł;20.0 zł;;;10.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% Zniżka - zamieszkanie ne terenie Gminy Legnickie Pole: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 5:30-16:30 ;TAK;Gmina Legnickie Pole;ul. Kiliana Ignacego Dientzenhofera 1 59-241 Legnickie Pole, Legnickie Pole, wieś;6911276075.0;390647481.0;19368/P;www.bip.legnickiepole.pl;NIE;DOLNOŚLĄSKIE ;Powiat legnicki ;Legnickie Pole ;Legnickie Pole, wieś ul.  Kossak-Szczuckiej 3;51.1456916;16.2402342
2031;Klub dziecięcy;Super Bobas;MAŁOPOLSKIE > Powiat olkuski > Olkusz > Olkusz, miasto pl.  Konstytucji 3 Maja 1 A lok. 2;;superbobas.olkusz@gmail.com;665037880;25;25.0;1160.0 zł;;;;18.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;Angelika Woźniak;;6372111667.0;123041802.0;15450/P;;NIE;MAŁOPOLSKIE ;Powiat olkuski ;Olkusz ;Olkusz, miasto pl.  Konstytucji 3 Maja 1 A lok. 2;50.2769561;19.5832974
2032;Żłobek;Żłobek Miejski Nr 1 w Łukowie;LUBELSKIE > Powiat łukowski > Łuków > Łuków, miasto ul. Józefa Piłsudskiego 18;;zlobek@um.lukow.pl;257 982 701;48;48.0;700.0 zł;25.0 zł;;;12.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ;TAK;MIASTO ŁUKÓW;ul. Józefa Piłsudskiego 17 21-400 ŁUKÓW, Łuków, miasto;8251998129.0;711582380.0;19388/P;;NIE;LUBELSKIE ;Powiat łukowski ;Łuków ;Łuków, miasto ul. Józefa Piłsudskiego 18;51.931334;22.378726
2033;Klub dziecięcy;Klub Dziecięcy Alere;MAŁOPOLSKIE > Powiat Kraków > Kraków-Śródmieście > Kraków-Śródmieście, delegatura ul. Mariana Słoneckiego 5A lok. LU2;www.alere.com.pl;klub@alere.com.pl;694875405;24;24.0;1850.0 zł;30.0 zł;;;18.0 zł;Zniżka - Samotne wychowanie dziecka: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:30 ;NIE;Alere Magdalena Włudyga;ul. Mariana Słoneckiego 5A lok. LU2 31-417 Kraków-Śródmieście, Kraków-Śródmieście, delegatura;6591483682.0;385844981.0;19369/P;www.alere.com.pl;NIE;MAŁOPOLSKIE ;Powiat Kraków ;Kraków-Śródmieście ;Kraków-Śródmieście, delegatura ul. Mariana Słoneckiego 5A lok. LU2;50.0905394;19.9754869
2034;Klub dziecięcy;"Klub Dziecięcy ""Chatka Puchatka""";KUJAWSKO-POMORSKIE > Powiat aleksandrowski > Bądkowo > Bądkowo, wieś ul.  Włocławska 13;https://klubdziecibadkowo.naszbip.pl/;klubdzieci.badkowo@wp.pl;531488330;20;13.0;800.0 zł;25.0 zł;;;14.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 19.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;Gmina Bądkowo;ul.  Włocławska 13 87-704 Bądkowo, Bądkowo, wieś;8911622058.0;910866420.0;19370/P;;NIE;KUJAWSKO-POMORSKIE ;Powiat aleksandrowski ;Bądkowo ;Bądkowo, wieś ul.  Włocławska 13;52.7032227;18.7888815
2035;Żłobek;"Żłobek ""Leśna Przygoda"" w Gajewie";WIELKOPOLSKIE > Powiat czarnkowsko-trzcianecki > Czarnków > Gajewo, wieś Gajewo, wieś 35;;oswiata@czarnkowgmina.pl;67 348 77 99;16;16.0;800.0 zł;23.0 zł;;;12.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Gmina Czarnków;ul.  Rybaki 3 64-700 Czarnków, Czarnków, miasto;7632091377.0;570791069.0;19428/P;www.czarnkowgmina.pl;NIE;WIELKOPOLSKIE ;Powiat czarnkowsko-trzcianecki ;Czarnków ;Gajewo, wieś Gajewo, wieś 35;52.9194056;16.4562256
2036;Żłobek;"ŻŁOBEK "" BAJKOWY LASEK""";MAZOWIECKIE > Powiat pruszkowski > Nadarzyn > Stara Wieś, wieś ul.  Sympatyczna 3;;bajkowy.lasek@onet.pl;48502060022;15;3.0;1000.0 zł;;;200.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;Marlena  Iwanowicz;ul.  Sympatyczna 3 05-830 Nadarzyn, Stara Wieś, wieś;5341210250.0;147435014.0;1671/P;;NIE;MAZOWIECKIE ;Powiat pruszkowski ;Nadarzyn ;Stara Wieś, wieś ul.  Sympatyczna 3;52.0809078;20.761102
2037;Żłobek;"""Bociankowo"" Niepubliczny Żłobek Aleksandra Kościńska";POMORSKIE > Powiat gdański > Pszczółki > Pszczółki, wieś ul.  Tczewska 10A;www.morskieopowiesci.edu.pl;morskieopowiesci.edu@gmail.com;696832760;24;24.0;1290.0 zł;;;;15.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ;TAK;"""MORSKIE OPOWIEŚCI""-NIEPUBLICZNE PRZEDSZKOLE ALEKSANDRA KOŚCIŃSKA";;5932369031.0;361960559.0;19488/P;www.morskieopowiesci.edu.pl;NIE;POMORSKIE ;Powiat gdański ;Pszczółki ;Pszczółki, wieś ul.  Tczewska 10A;54.1697043;18.6997719
2038;Klub dziecięcy;Urząd Gminy Perlejewo (siemiatycki);PODLASKIE > Powiat siemiatycki > Perlejewo > Perlejewo, wieś Perlejewo, wieś 45;;ops@perlejewo.pl;85-6578515;8;8.0;300.0 zł;;;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:30-15:30 ;TAK;Gmina Perlejewo; 14 17-322 Perlejewo, Perlejewo, wieś;5441484627.0;450670060.0;19509/P;perlejewo.pl;NIE;PODLASKIE ;Powiat siemiatycki ;Perlejewo ;Perlejewo, wieś Perlejewo, wieś 45;52.5688033;22.5626471
2039;Żłobek;Żłobek Prymusek;LUBUSKIE > Powiat zielonogórski > Świdnica > Świdnica, wieś ul.  Grzybowa 3;www.prymuski.eu;zlobek@prymuski.eu;667702033;16;16.0;850.0 zł;;;300.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ;NIE;Cyberion Sławomir Kula;;;81114433.0;12474/P;;NIE;LUBUSKIE ;Powiat zielonogórski ;Świdnica ;Świdnica, wieś ul.  Grzybowa 3;51.8829021;15.3849203
2040;Klub dziecięcy;Kolorowe Kredki Kurkowa;DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Śródmieście > Wrocław-Śródmieście, delegatura ul.  Kurkowa 41 lok. 1a;www.zlobekkolorowekredki.pl;obornicka@zlobekkolorowekredki.pl;575774621;30;30.0;965.0 zł;;;;22.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;Kolorowe Kredki 2 s.c. Tobiasz Butniak, Barbara Jurkowska, Amelia Miszczyszyn;ul.  Osiedlowa 31 55-011 Siechnice, Siechnice, miasto;8961595955.0;386490752.0;19529/P;www.zlobekkolorowekredki.pl;NIE;DOLNOŚLĄSKIE ;Powiat Wrocław ;Wrocław-Śródmieście ;Wrocław-Śródmieście, delegatura ul.  Kurkowa 41 lok. 1a;51.1202212;17.0288067
2041;Żłobek;"Żłobek Gminny w Bierzwniku ""Zaczarowany Żłobek""";ZACHODNIOPOMORSKIE > Powiat choszczeński > Bierzwnik > Bierzwnik, wieś ul.  Szkolna 16;www.bierzwnik.pl;zlobek.bierzwnik@gmail.com;733003988;15;14.0;600.0 zł;45.0 zł;;;11.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;TAK;Gmina Bierzwnik;ul.  Kopernika 2 73-240 Bierzwnik, Bierzwnik, wieś;5941534297.0;210967030.0;13857/P;www.bierzwnik.pl;NIE;ZACHODNIOPOMORSKIE ;Powiat choszczeński ;Bierzwnik ;Bierzwnik, wieś ul.  Szkolna 16;53.0345011;15.6576663
2042;Żłobek;NIEPUBLICZNY ŻŁOBEK ROBACZKI;MAZOWIECKIE > Powiat wołomiński > Ząbki > Ząbki, miasto ul.  Graniczna 43A;;OLA.JANICKA@AUTOGRAF.PL;694488404;13;10.0;1100.0 zł;;;260.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ;NIE;CARE SUPPORT ALEKSANDRA JANICKA;ul.  Graniczna 43A 05-091 Ząbki, Ząbki, miasto;1251712603.0;387661144.0;19588/P;Graniczna;NIE;MAZOWIECKIE ;Powiat wołomiński ;Ząbki ;Ząbki, miasto ul.  Graniczna 43A;52.3047712;21.0993813
2043;Klub dziecięcy;"PARAFIALNY KLUB DZIECIĘCY ""BETLEJEM""";MAŁOPOLSKIE > Powiat nowosądecki > Grybów > Grybów, miasto ul.  Dębowa 11;;klubdzieciecybetlejem@gmail.com;607177484;12;12.0;780.0 zł;;;220.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:00 ;TAK;PARAFIA RZYMSKOKATOLICKA PW. ŚW. KATARZYNY ALEKSANDRYJSKIEJ W GRYBOWIE;ul.  Kościelna 3 33-330 Grybów, Grybów, miasto;7381035185.0;40062582.0;19568/P;;NIE;MAŁOPOLSKIE ;Powiat nowosądecki ;Grybów ;Grybów, miasto ul.  Dębowa 11;49.6263485;20.946415
2044;Żłobek;"Żłobek ""Misiowy Zakątek""";ŚLĄSKIE > Powiat Katowice > Katowice > Katowice, miasto ul.  Grabowa 2;www.zlobekmisiowyzakatek.eu;zlobek.misiowy.zakatek@gmail.com;731741234;40;40.0;1100.0 zł;25.0 zł;;;18.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;SOMA OLGA SMOLIŃSKA;;6342577332.0;241319410.0;3409/P;http://zlobekmisiowyzakatek.pl/;NIE;ŚLĄSKIE ;Powiat Katowice ;Katowice ;Katowice, miasto ul.  Grabowa 2;50.2747762;19.0271673
2045;Żłobek;Samorządowy Żłobek w Wierzbnie;MAŁOPOLSKIE > Powiat proszowicki > Koniusza > Wierzbno, wieś Wierzbno, wieś 3;;zlobekwierzbno@gmail.com;12386910145;52;52.0;800.0 zł;20.0 zł;;;18.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% Zniżka - Rodzeństwo uczęszczające do instytucji 3 dzieci lub więcej: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;TAK;Gmina Koniusza; 55 32-104 KONIUSZA, Koniusza, wieś;6821773580.0;351555051.0;19608/P;www.koniusza.pl;NIE;MAŁOPOLSKIE ;Powiat proszowicki ;Koniusza ;Wierzbno, wieś Wierzbno, wieś 3;50.14849239999999;20.2352623
2046;Żłobek;Niepubliczny Artystyczny Żłobek Atti-tude;OPOLSKIE > Powiat opolski > Popielów > Stare Siołkowice, wieś ul.  Michała 2;www.przedszkole.atti-tude.pl;dyrektorprzedszkola@atti-tude.pl;505685358;46;25.0;1650.0 zł;;;;14.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 3.0% Zniżka - zniżka z budżetu gminy: 24.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 05:30-16:30 ;TAK;"Ewelina Gorazdowska Centrum Kształcenia i Doskonalenia Umiejętności Tanecznych ""Chaine""";;8971683448.0;161372923.0;19628/P;przedszkole.atti-tude.pl;NIE;OPOLSKIE ;Powiat opolski ;Popielów ;Stare Siołkowice, wieś ul.  Michała 2;50.8014698;17.7669072
2047;Klub dziecięcy;Klub Malucha Kraina Cudów Marta Łukaszewska;LUBUSKIE > Powiat Gorzów Wielkopolski > Gorzów Wielkopolski > Gorzów Wielkopolski, miasto ul. gen. Tadeusza Bora-Komorowskiego 41 lok. 1;;zlobek.krainacudow@gmail.com;516135444;14;15.0;1000.0 zł;;;;16.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:30 ;NIE;Klub Malucha Kraina Cudów;ul. gen. Tadeusza Bora-Komorowskiego 41 lok. 1 66-400 Gorzów Wielkopolski, Gorzów Wielkopolski, miasto;5993071449.0;386114457.0;19649/P;;NIE;LUBUSKIE ;Powiat Gorzów Wielkopolski ;Gorzów Wielkopolski ;Gorzów Wielkopolski, miasto ul. gen. Tadeusza Bora-Komorowskiego 41 lok. 1;52.7652839;15.2712051
