id;institutionType;name;localization;voivodeship;county;city;address;latitude;longitude;website;email;phone;capacity;kidsEnrolled;basicPricePerMonth;extendedStayOver10H;basicPricePerHour;foodPricePerMonth;foodPricePerDay;discounts;openingHours;isAdaptedToDisabledChildren;operatingEntityName;operatingEntityAddress;operatingEntityNIP;operatingEntityREGON;operatingEntityRegNoPosition;operatingEntityWebsite;businessActivitySuspended
2047;Klub dziecięcy;Klub Malucha Kraina Cudów Marta Łukaszewska;LUBUSKIE > Powiat Gorzów Wielkopolski > Gorzów Wielkopolski > Gorzów Wielkopolski, miasto ul. gen. Tadeusza Bora-Komorowskiego 41 lok. 1;LUBUSKIE ;Powiat Gorzów Wielkopolski ;Gorzów Wielkopolski ;Gorzów Wielkopolski, miasto ul. gen. Tadeusza Bora-Komorowskiego 41 lok. 1;52.7652839;15.2712051;;zlobek.krainacudow@gmail.com;516135444;14;15;1000.0 zł;;;;16.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:30 ;NIE;Klub Malucha Kraina Cudów;ul. gen. Tadeusza Bora-Komorowskiego 41 lok. 1 66-400 Gorzów Wielkopolski, Gorzów Wielkopolski, miasto;5993071449;386114457;19649/P;;NIE
2048;Żłobek;Nasz Żłobek;MAZOWIECKIE > Powiat Warszawa > Warszawa - Włochy > Warszawa - Włochy, dzielnica m. st. Warszawy ul.  Klinkierowa 4 lok. U3;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Włochy ;Warszawa - Włochy, dzielnica m. st. Warszawy ul.  Klinkierowa 4 lok. U3;52.1993456;20.9520125;https://naszzlobek.wordpress.com/;lilijaruda77@gmail.com;889847598;24;20;2200.0 zł;50.0 zł;;;22.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;Liliya Ruda;ul.  Klinkierowa 4 lok. U3 02-237 Warszawa - Włochy, Warszawa - Włochy, dzielnica m. st. Warszawy;1133014208;386041652;19669/P;https://naszzlobek.wordpress.com/;NIE
2049;Żłobek;Żłobek Po sąsiedzku;DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Psie Pole > Wrocław-Psie Pole, delegatura ul. Marca Polo 9;DOLNOŚLĄSKIE ;Powiat Wrocław ;Wrocław-Psie Pole ;Wrocław-Psie Pole, delegatura ul. Marca Polo 9;51.1104335;17.1182068;www.zlobek-posasiedzku.pl;zlobki.posasiedzku.olimpia@gmail.com;789429110;15;13;1600.0 zł;;;;24.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;METIS SPÓŁKA Z O.O.;ul. Jana Szanieckiego 43 51-692 Wrocław-Śródmieście, Wrocław-Śródmieście, delegatura;8982258849;386530173;19650/P;;NIE
2050;Klub dziecięcy;"Anglojęzyczny Klub Malucha ""Magic Baby""";DOLNOŚLĄSKIE > Powiat polkowicki > Polkowice > Polkowice, miasto ul.  Kolejowa 10 lok. a;DOLNOŚLĄSKIE ;Powiat polkowicki ;Polkowice ;Polkowice, miasto ul.  Kolejowa 10 lok. a;51.5064889;16.0777389;;kontakt@magicschool.pl;693333133;13;13;900.0 zł;;;351.0 zł;;Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-15:00 ;NIE;Magic School sp. z o.o.;pl.  Grunwaldzki 57 lok. lok.323 50-378 Wrocław-Śródmieście, Wrocław-Śródmieście, delegatura;8992861903;383265440;19670/P;;NIE
2051;Żłobek;II Oddział  Żłobkowy w Gminnym Przedszkolu Nr 4 w Trzciance;WIELKOPOLSKIE > Powiat czarnkowsko-trzcianecki > Trzcianka > Trzcianka, miasto ul. Władysława Broniewskiego 2A;WIELKOPOLSKIE ;Powiat czarnkowsko-trzcianecki ;Trzcianka ;Trzcianka, miasto ul. Władysława Broniewskiego 2A;53.0372916;16.4615227;gp4.trzcianka.pl;gptrzcianka4@gmail.com;67 216 30 01;24;24;764.0 zł;;;;12.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ;Godziny pracy: ;TAK;Gmina Trzcianka;Gen. Władysława Sikorskiego 7 64-980 Trzcianka;7632094861;570791129;686/P;www.trzcianka.pl;NIE
2052;Klub dziecięcy;Klub dziecięcy Misie Tulisie Nowogrodziec;DOLNOŚLĄSKIE > Powiat bolesławiecki > Nowogrodziec > Nowogrodziec, miasto ul.  Lubańska 14 lok. 6-7-8;DOLNOŚLĄSKIE ;Powiat bolesławiecki ;Nowogrodziec ;Nowogrodziec, miasto ul.  Lubańska 14 lok. 6-7-8;51.1965257;15.3958656;https://www.misietulisie.edu.pl;dyrektor.nowogrodziec@misietulisie.edu.pl;576000482;25;18;1200.0 zł;;;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ;NIE;ECEN Bolesławiec Nowogrodziec SP. z o.o.;ul.  Świderska 113 lok. 77 03-128 Warszawa - Białołęka, Warszawa - Białołęka, dzielnica m. st. Warszawy;5242979929;526011002;30794/P;;NIE
2053;Klub dziecięcy;Misie Tulisie Strzegom;DOLNOŚLĄSKIE > Powiat świdnicki > Strzegom > Strzegom, miasto ul.  Aleja Wojska Polskiego 41C;DOLNOŚLĄSKIE ;Powiat świdnicki ;Strzegom ;Strzegom, miasto ul.  Aleja Wojska Polskiego 41C;50.9668635;16.348561;https://www.misietulisie.edu.pl;dyrektor.sobotka@misietulisie.edu.pl;533338105;15;;95.0 zł;;;;0.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;NIE;POLSKIE TOWARZYSTWO EDUKACYJNE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;al.  Aleje Jerozolimskie 89 lok. 43 02-001 Warszawa - Śródmieście, Warszawa - Śródmieście, dzielnica m. st. Warszawy;7011061730;520565432;15010/P;;NIE
2054;Klub dziecięcy;"KLUB DZIECIĘCY ""LEŚNA GROMADA""";ŁÓDZKIE > Powiat kutnowski > Kutno > Gołębiewek Nowy, wieś Gołębiewek Nowy, wieś 54;ŁÓDZKIE ;Powiat kutnowski ;Kutno ;Gołębiewek Nowy, wieś Gołębiewek Nowy, wieś 54;52.1964729;19.3553011;;cuw@gminakutno.pl;243 557 026;23;20;450.0 zł;;;;30.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-16:00 ;TAK;GMINA KUTNO;ul. Wincentego Witosa 1 99-300 KUTNO, Kutno, miasto;7752406122;611015744;19689/P;www.gminakutno.pl;NIE
2055;Klub dziecięcy;Misie Tulisie Nowogrodziec;DOLNOŚLĄSKIE > Powiat bolesławiecki > Nowogrodziec > Nowogrodziec, miasto ul.  Lubańska 14 lok. 3-4-5;DOLNOŚLĄSKIE ;Powiat bolesławiecki ;Nowogrodziec ;Nowogrodziec, miasto ul.  Lubańska 14 lok. 3-4-5;51.1965257;15.3958656;https://www.misietulisie.edu.pl;dyrektor.nowogrodziec@misietulisie.edu.pl;576000482;20;18;1200.0 zł;;;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ;NIE;M Legnica Nowogrodziec Sp. z o.o.;al.  Aleje Jerozolimskie 89 lok. 43 02-001 Warszawa - Ochota, Warszawa - Ochota, dzielnica m. st. Warszawy;7011161561;526198986;30793/P;;NIE
2056;Żłobek;"Żłobek Gminny ""Wesoły Wiatraczek"" w Krasocinie";ŚWIĘTOKRZYSKIE > Powiat włoszczowski > Krasocin > Krasocin, wieś ul. 1 Maja 10a;ŚWIĘTOKRZYSKIE ;Powiat włoszczowski ;Krasocin ;Krasocin, wieś ul. 1 Maja 10a;50.8862143;20.1262481;www.zlobek.krasocin.com.pl;zlobek@krasocin.com.pl;788663511;42;42;400.0 zł;20.0 zł;;;12.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;TAK;Gmina Krasocin;ul.  Macierzy Szkolnej 1 29-105 Krasocin, Krasocin, wieś;6090003636;291010145;19729/P;www.krasocin.com.pl;NIE
2057;Klub dziecięcy;Klub Dziecięcy ZygZaki;POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk, miasto ul.  Królewskie Wzgórze 7 lok. 4;POMORSKIE ;Powiat Gdańsk ;Gdańsk ;Gdańsk, miasto ul.  Królewskie Wzgórze 7 lok. 4;54.34868299999999;18.5698941;;biuro-piaskownica@wp.pl;516-692-518;14;14;1400.0 zł;100.0 zł;;;17.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;"Klub Malucha ""Piaskownica"" - Paulina Majkowska";;5842471323;381959233;15666/P;;NIE
2058;Żłobek;Urząd Gminy Gołuchów (pleszewski);WIELKOPOLSKIE > Powiat pleszewski > Gołuchów > Gołuchów, wieś ul.  Czartoryskich 53;WIELKOPOLSKIE ;Powiat pleszewski ;Gołuchów ;Gołuchów, wieś ul.  Czartoryskich 53;51.8426087;17.9296039;;gops@goluchow.pl;535671573;20;20;850.0 zł;40.0 zł;;;12.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;TAK;Gmina Gołuchów;ul.  Lipowa 1 63-322 GOŁUCHÓW, Gołuchów, wieś;6080083958;250855340;19732/P;www.goluchow.pl;NIE
2059;Żłobek;PLACÓWKA PROMYCZEK Małgorzata Urban;MAZOWIECKIE > Powiat grójecki > Chynów > Sułkowice, wieś ul.  Kolejowa 9A;MAZOWIECKIE ;Powiat grójecki ;Chynów ;Sułkowice, wieś ul.  Kolejowa 9A;51.9265325;21.0991524;;radosne@przedszkole-promyczek.com.pl;606202101;20;15;1100.0 zł;;;;13.0 zł;;Godziny pracy: ;NIE;PLACÓWKA PROMYCZEK Małgorzata Urban;ul.  Kolejowa 9A 05-650 Chynów, Sułkowice, wieś;5211998989;10801494;13634/P;http://przedszkole-promyczek.com.pl/;NIE
2060;Żłobek;Niepubliczne Przedszkole i Żłobek Happy World Kids Komorowska Maria;MAZOWIECKIE > Powiat siedlecki > Kotuń > Broszków, wieś ul.  Warszawska 18;MAZOWIECKIE ;Powiat siedlecki ;Kotuń ;Broszków, wieś ul.  Warszawska 18;52.1881038;22.1179963;www.przedszkolebroszkow.pl;przedszkolebroszkow@gmail.com;577744900;17;17;850.0 zł;30.0 zł;;;12.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 37.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ;TAK;Niepubliczne Przedszkole i Żłobek Happy World Kids Komorowska Maria;ul.  Warszawska 18 08-130 Kotuń, Broszków, wieś;8212261910;384723525;19768/P;www.przedszkolebroszkow.pl;NIE
2061;Żłobek;Żłobek artystyczno-językowy Kajtusie ;MAZOWIECKIE > Powiat Warszawa > Warszawa - Białołęka > Warszawa - Białołęka, dzielnica m. st. Warszawy ul.  Aluzyjna 18c lok. -;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Białołęka ;Warszawa - Białołęka, dzielnica m. st. Warszawy ul.  Aluzyjna 18c lok. -;52.3453712;20.9446004;www.kajtusie.pl;monika_maciejewicz@wp.pl;501779872;15;10;950.0 zł;;;;12.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% Zniżka - bon żłobkowy: 38.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-16:30 ;TAK;Active Team Monika Maciejewicz;;5212987806;367560453;14915/P;www.kajtusie.pl;NIE
2062;Żłobek;"Niepubliczny Żłobek ""Ple-Ple"" w Nowym Targu";MAŁOPOLSKIE > Powiat nowotarski > Nowy Targ > Nowy Targ, miasto ul. Świętego Brata Alberta 39;MAŁOPOLSKIE ;Powiat nowotarski ;Nowy Targ ;Nowy Targ, miasto ul. Świętego Brata Alberta 39;49.4957157;20.0037718;;gromada.rabka@gmail.com;532595332;29;29;1270.0 zł;30.0 zł;;;14.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ;NIE;"F. U. ""FRAJDA"" JUSTYNA GROMADA";;7352541448;123121464;2763/P;;NIE
2063;Klub dziecięcy;"Klub dziecięcy ""U cioci Czesi 2""";ŁÓDZKIE > Powiat pabianicki > Lutomiersk > Kazimierz, wieś ul.  Kilińskiego 66;ŁÓDZKIE ;Powiat pabianicki ;Lutomiersk ;Kazimierz, wieś ul.  Kilińskiego 66;51.7615438;19.2172413;fb.com/uciociczesi;uciociczesi@onet.pl;666385128;21;16;223.0 zł;;;0.0 zł;;Zniżka - osoby bezrobotne / bierne zawodowo oraz uchodźcy z Ukrainy: 100.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;"Czesława Wawrzyniak KLUB DZIECIĘCY ""U CIOCI CZESI""";ul.  Kilińskiego 66 95-083 LUTOMIERSK, Kazimierz, wieś;8311417930;101521146;3089/P;www.facebook.com/UCiociCzesi;NIE
4370;Klub dziecięcy;"Klub Dziecięcy ""U cioci Czesi""";ŁÓDZKIE > Powiat pabianicki > Lutomiersk > Kazimierz, wieś ul.  Kilińskiego 66;ŁÓDZKIE ;Powiat pabianicki ;Lutomiersk ;Kazimierz, wieś ul.  Kilińskiego 66;51.7615438;19.2172413;www.facebook.com/UCiociCzesi;uciociczesi@onet.pl;666385128;28;16;1300.0 zł;;;;16.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 40.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;"Czesława Wawrzyniak KLUB DZIECIĘCY ""U CIOCI CZESI""";ul.  Kilińskiego 66 95-083 LUTOMIERSK, Kazimierz, wieś;8311417930;101521146;3089/P;www.facebook.com/UCiociCzesi;NIE
2064;Klub dziecięcy;"Niepubliczny Klub Dziecięcy ""CZAR DZIECI - ZAGÓRZANKA""";KUJAWSKO-POMORSKIE > Powiat Bydgoszcz > Bydgoszcz > Bydgoszcz, miasto ul. św. Maksymiliana Kolbego 24;KUJAWSKO-POMORSKIE ;Powiat Bydgoszcz ;Bydgoszcz ;Bydgoszcz, miasto ul. św. Maksymiliana Kolbego 24;53.150911;17.9189605;www.czardzieci.pl;biuro@czardzieci.pl;609777827;15;11;1590.0 zł;;;;15.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;"PRZEDSIĘBIORSTWO USŁUGOWE CENTRUM ZABAW ANIMACJI I ROZWOJU ""CZAR"" WIOLETA GARDZIELEWSKA";;5542658017;340598764;13666/P;www.czardzieci.pl;NIE
2065;Klub dziecięcy;"Niepubliczny Klub Dziecięcy ""Ekoludki""";KUJAWSKO-POMORSKIE > Powiat chełmiński > Unisław > Unisław, wieś ul.  Lipowa 31 lok. A;KUJAWSKO-POMORSKIE ;Powiat chełmiński ;Unisław ;Unisław, wieś ul.  Lipowa 31 lok. A;53.210427;18.3853;;uniziel@wp.pl;505189145;24;;113.93 zł;;;0.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-16:00 ;TAK;Unisławska Spółdzielnia Socjalna UNI-ZIEL;ul.  Parkowa 20 86-260 Unisław, Unisław, wieś;8751560991;380195673;19769/P;;NIE
2066;Żłobek;ŚWIERSZCZYK Żłobek w Górze Kalwarii;MAZOWIECKIE > Powiat piaseczyński > Góra Kalwaria > Góra Kalwaria, miasto ul.  Budowlanych 2/5;MAZOWIECKIE ;Powiat piaseczyński ;Góra Kalwaria ;Góra Kalwaria, miasto ul.  Budowlanych 2/5;51.988057;21.1970435;www.zlobekswierszczyk.pl;swierszczykzlobek@gmail.com;604 777 914;20;20;950.0 zł;100.0 zł;;;19.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 7.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;MATADA ADAM URBAŃSKI;ul.  Budowlanych 2/5 05-530 Góra Kalwaria, Góra Kalwaria, miasto;9512152048;384142030;19810/P;https://www.facebook.com/zlobekgorakalwaria;NIE
2067;Klub dziecięcy;"KLUB DZIECIĘCY ""MALUSZEK"" W LUBICHOWIE";POMORSKIE > Powiat starogardzki > Lubichowo > Lubichowo, wieś ul.  Zblewska 30;POMORSKIE ;Powiat starogardzki ;Lubichowo ;Lubichowo, wieś ul.  Zblewska 30;53.853468;18.395172;;klub.dzieciecy@lubichowo.pl;585310011, 519194790;30;30;620.0 zł;30.0 zł;;;9.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;GMINA LUBICHOWO;ul.  Zblewska 8 83-240 Lubichowo, Lubichowo, wieś;5922083681;191675712;19770/P;lubichowo.pl;NIE
2068;Żłobek;"Żłobek Gminny ""PUCHATEK"" w Wojcieszkowie";LUBELSKIE > Powiat łukowski > Wojcieszków > Wojcieszków, wieś ul.  Parkowa 1;LUBELSKIE ;Powiat łukowski ;Wojcieszków ;Wojcieszków, wieś ul.  Parkowa 1;51.76875399999999;22.3196764;www.zlobek.wojcieszkow.pl;zlobek.gminny@wojcieszkow.pl;25 623 97 12;60;57;593.88 zł;20.0 zł;;;8.5 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;TAK;Gmina Wojcieszków;ul.  Kościelna 46 21-411 Wojcieszków, Wojcieszków, wieś;8252080020;711582530;19811/P;;NIE
2069;Żłobek;Żłobek Bam-Bino;DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Krzyki > Wrocław-Krzyki, delegatura ul.  Nefrytowa 19;DOLNOŚLĄSKIE ;Powiat Wrocław ;Wrocław-Krzyki ;Wrocław-Krzyki, delegatura ul.  Nefrytowa 19;51.0490377;17.0191594;www.bambino-wroc.pl;skrzypniak.bambino@gmail.com;795533571;18;14;1600.0 zł;25.0 zł;;;18.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;Katarzyna Skrzypniak Żłobek Bam-Bino;ul.  Nefrytowa 19 52-215 Wrocław-Krzyki, Wrocław-Krzyki, delegatura;8992887802;387359422;19774/P;www.bambino.wroc.pl;NIE
2070;Żłobek; Wesołe Buźki;MAZOWIECKIE > Powiat Warszawa > Warszawa - Ursus > Warszawa - Ursus, dzielnica m. st. Warszawy ul.  Bolesława Śmiałego 1 lok. 1;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Ursus ;Warszawa - Ursus, dzielnica m. st. Warszawy ul.  Bolesława Śmiałego 1 lok. 1;52.2049759;20.8626999;Facebook:żłobek Wesołe Buźki;zlobek.wesolebuzki@onet.pl;530806815;24;16;1500.0 zł;;;;16.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;WESOŁE BUŹKI BEATA KOZŁOWSKA;ul.  Bolesława Śmiałego 1 lok. 1 02-496 Warszawa - Ursus, Warszawa - Ursus, dzielnica m. st. Warszawy;5271316686;385164950;19771/P;Facebook:żłobek Wesołe buźki;NIE
2071;Żłobek;Żłobek Samorządowy w Lesku;PODKARPACKIE > Powiat leski > Lesko > Lesko, miasto ul.  Smolki 9;PODKARPACKIE ;Powiat leski ;Lesko ;Lesko, miasto ul.  Smolki 9;49.4679626;22.3356703;;zlobek.lesko@gmail.com;604619255;50;45;400.0 zł;25.0 zł;;;8.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Gmina Lesko;ul. Parkowa 1 38-600 Lesko;6881245092;524743;12958/P;www.lesko.pl;NIE
2072;Żłobek;Miejski Żłobek Radosny Zakątek;PODKARPACKIE > Powiat jarosławski > Jarosław > Jarosław, miasto ul. Kazimierza Skarbowskiego 10;PODKARPACKIE ;Powiat jarosławski ;Jarosław ;Jarosław, miasto ul. Kazimierza Skarbowskiego 10;50.0248783;22.6656806;mz.jaroslaw.pl;sekretariat@mz.jaroslaw.pl;16736 36 65;20;20;400.0 zł;30.0 zł;;;9.5 zł;Zniżka - Jarosławska Karta Dużej Rodziny: 100.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;Gmina Miejska Jarosław;ul. Rynek 1 37-500 Jarosław;7922031550;650900520;1573/P;www.miastojaroslaw.pl;NIE
2073;Żłobek;Niepubliczny żłobek Duło w Krakowie;MAŁOPOLSKIE > Powiat Kraków > Kraków-Nowa Huta > Kraków-Nowa Huta, delegatura os.  Osiedle Avia 8 lok. 48;MAŁOPOLSKIE ;Powiat Kraków ;Kraków-Nowa Huta ;Kraków-Nowa Huta, delegatura os.  Osiedle Avia 8 lok. 48;50.0797511;20.0056358;;dulo.zlobek@gmail.com;884030186;8;8;2300.0 zł;;;;19.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;EWA DUSZA -ŁOMNICKA DUŁO OPIEKA NAD DZIEĆMI;;6381660913;242999453;19814/P;;NIE
2074;Żłobek;"Żłobek ""Małe Skauty I""";DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Krzyki > Wrocław-Krzyki, delegatura ul.  Radkowska 26;DOLNOŚLĄSKIE ;Powiat Wrocław ;Wrocław-Krzyki ;Wrocław-Krzyki, delegatura ul.  Radkowska 26;51.0731998;17.0441511;;biuro4@wroclawskieskauty.pl;505044875;54;51;937.0 zł;;;;20.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;Robert Burszewski;;6921767751;390611477;19775/P;;NIE
2076;Żłobek;"Niepubliczny Żłobek ""Pakuś""";MAZOWIECKIE > Powiat piaseczyński > Lesznowola > Wola Mrokowska, wieś ul.  Wąska 9;MAZOWIECKIE ;Powiat piaseczyński ;Lesznowola ;Wola Mrokowska, wieś ul.  Wąska 9;52.0286893;20.8525564;www.zlobekpakus.pl;biuro@zlobekpakus.pl;509944740;19;19;1350.0 zł;;;;14.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-18:00 ;NIE;Karolina Pakuła;ul.  Wąska 9 05-552 Lesznowola, Wola Mrokowska, wieś;1231469329;386217275;18531/P;www.zlobekpakus.pl;NIE
2077;Żłobek;Żłobek Piotruś Pan;MAZOWIECKIE > Powiat pruszkowski > Pruszków > Pruszków, miasto ul.  Zachodnia 22;MAZOWIECKIE ;Powiat pruszkowski ;Pruszków ;Pruszków, miasto ul.  Zachodnia 22;52.181174;20.8051837;www.piotruspan.pruszkow.pl;kontakt@piotruspan.pruszkow.pl;48607221225;74;63;1200.0 zł;;;;15.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% Zniżka - Klienci którzy podpisali umowę do 30.09.2021 otrzymali zniżkę- czesne wynosi 1150 zł : 4.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-18:00 ;NIE;"MAŁGORZATA PIASECKA ""PIOTRUŚ PAN""";ul.  Zachodnia 22 05-800 Pruszków, Pruszków, miasto;5341545418;15539842;19777/P;www.piotruspan.pruszkow.pl;NIE
2078;Żłobek;Pozytywny żłobek nr 4 w Gdańsku;POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk, miasto ul.  Syriusza 50;POMORSKIE ;Powiat Gdańsk ;Gdańsk ;Gdańsk, miasto ul.  Syriusza 50;54.4278712;18.4800207;https://siec.pozytywneinicjatywy.pl/;m.budny@pozytywneinicjatywy.pl;538 127 653;100;62;1400.0 zł;100.0 zł;;;16.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;TAK;Fundacja Pozytywne Inicjatywy;ul.  Przebendowskiego 12 84-100 Puck, Puck, miasto;5871698532;221581359;2274/P;www.pozytywneinicjatywy.pl;NIE
2079;Żłobek;ZŁOBEK U KRECIKA;KUJAWSKO-POMORSKIE > Powiat mogileński > Strzelno > Strzelno, miasto ul.  Rynek 2;KUJAWSKO-POMORSKIE ;Powiat mogileński ;Strzelno ;Strzelno, miasto ul.  Rynek 2;52.6312477;18.17545;;eccehomo.strzelno@gmail.com;601813783;35;16;188.7 zł;;;0.0 zł;;;Godziny pracy: ;NIE;"STOWARZYSZENIE ""ECCE HOMO W STRZELNIE""";ul.  Kościelna 12 lok. 1 88-320 Strzelno, Strzelno, miasto;5571699266;363552652;19812/P;;NIE
2080;Żłobek;Niepubliczny żłobek Duło w Krakowie;MAŁOPOLSKIE > Powiat Kraków > Kraków-Śródmieście > Kraków-Śródmieście, delegatura ul.  Moniuszki 36 lok. 1;MAŁOPOLSKIE ;Powiat Kraków ;Kraków-Śródmieście ;Kraków-Śródmieście, delegatura ul.  Moniuszki 36 lok. 1;50.0691333;19.9664013;;dulo.zlobek@gmail.com;884030186;15;15;2300.0 zł;;;;19.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;EWA DUSZA -ŁOMNICKA DUŁO OPIEKA NAD DZIEĆMI;;6381660913;242999453;19814/P;;NIE
2081;Żłobek;Wesołe Smyki;ŁÓDZKIE > Powiat opoczyński > Drzewica > Drzewica, miasto ul.  Stawowa 58;ŁÓDZKIE ;Powiat opoczyński ;Drzewica ;Drzewica, miasto ul.  Stawowa 58;51.45045959999999;20.4676645;;wesolesmyki@fep.edu.pl;501655792;29;29;400.0 zł;;;;13.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;Fundacja Edukacji Przedszkolnej;pl. św. Macieja 2 50-244 Wrocław-Śródmieście, Wrocław-Śródmieście, delegatura;8982112726;20545528;11941/P;brak;NIE
2082;Żłobek;"Niepubliczny żłobek ""Promyczek"" 2";KUJAWSKO-POMORSKIE > Powiat golubsko-dobrzyński > Kowalewo Pomorskie > Kowalewo Pomorskie, miasto ul.  Konopnickiej 15;KUJAWSKO-POMORSKIE ;Powiat golubsko-dobrzyński ;Kowalewo Pomorskie ;Kowalewo Pomorskie, miasto ul.  Konopnickiej 15;53.1506106;18.8978067;www.zlobekpromyczek.pl;biuro@zlobekpromyczek.pl;534307072;20;20;1300.0 zł;;;;12.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;TAK;Anna Cetler;;8882898213;341277789;103/P;www.zlobekpromyczek.pl;NIE
