Identyfikator instytucji;Typ instytucji;Nazwa;Województwo;Powiat;Gmina;Miejscowość;Ulica;Nr domu;Nr lokalu;Kod pocztowy;Geolokalizacja;Adres WWW żłobka/klubu;E-mail żłobka/klubu;Telefon żłobka/klubu;Liczba miejsc;Liczba dzieci zapisanych;Liczba miejsc ze środków KPO;Liczba miejsc ze środków FERS;Liczba dzieci zapisanych na miejsca z KPO;Liczba dzieci zapisanych na miejsca z FERS;Podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia) - opłata miesięczna;Opłata miesięczna na miejscach z KPO/FERS;Stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);Opłata za wyżywienie - miesięczna;Opłata za wyżywienie - dzienna;Wydatki na funkcjonowanie – miesięcznie;W tym z programu Dofinansowanie wynagrodzeń;Zniżki;Godziny otwarcia;Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;Czy podmiot prowadzący zawiesił działalność instytucji opieki?;Podmiot prowadzący - nazwa;Podmiot prowadzący - miejscowość;Podmiot prowadzący - ulica;Podmiot prowadzący - nr domu;Podmiot prowadzący - nr lokalu;Podmiot prowadzący - kod pocztowy;Podmiot prowadzący - NIP;Podmiot prowadzący - REGON;Podmiot prowadzący - numery pozycji rejestru;Adres WWW podmiotu prowadzącego żłobek/klub
"24305/Z";"Żłobek";"Dwujęzyczny Niepubliczny Żłobek ""Małe Cuda""";"MAŁOPOLSKIE";"Kraków";"Kraków-Podgórze";"Kraków-Podgórze, delegatura";"ul. Zygmunta Miłkowskiego";"7";"LU4/LU5";"30-349";"19.918676927203364;50.02729868679788";"www.male-cuda.pl";"poczta@male-cuda.pl";"797551425";"30";"30";"0";"0";"0";"0";2100.0;0.0;15.0;;;20.5;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 2.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Tommar Creche Spółka z ograniczoną odpowiedzialnością";"Kraków-Podgórze, delegatura";"ul. Jana Kantego Federowicza";"3";"34";"30-392";"6762556325";"381567875";"14322/P";"www.male-cuda.pl"
"24317/Z";"Żłobek";"Niepubliczny żłobek "" Mały Miś""";"PODKARPACKIE";"kolbuszowski";"Raniżów";"Raniżów, wieś";"rynek Rynek";"13";;"36-130";"21.971819400787354;50.25816726043533";;"niepubliczny.malymis@wp.pl";"663861694";"16";"16";;;;;1500.0;0.0;;;;15.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota, Niedziela 06:30-16:30 ";"NIE";"NIE";"Niepubliczny Żłobek ""Mały Miś""";;;;;;"8141642526";"180976744";"25024/P";
"24318/Z";"Żłobek";"Niepubliczny Żłobek Ballili 2";"DOLNOŚLĄSKIE";"Wrocław";"Wrocław-Psie Pole";"Wrocław-Psie Pole, delegatura";"ul. Korzenna";"11";;"51-180";"17.1185445;51.150452";"https://zlobkiballili.pl/";"ballilizlobek@gmail.com";"531485742";"24";"20";;;;;1800.0;0.0;;;;19.9;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek 06:30-17:00 ";"NIE";"NIE";"Marta Piegońska BALLILI";;;;;;"9161384654";"384108837";"17270/P";"https://zlobkiballili.pl"
"24319/Z";"Żłobek";"Niepubliczny Żłobek Sportowo-Językowy Fair Play";"MAŁOPOLSKIE";"Kraków";"Kraków-Krowodrza";"Kraków-Krowodrza, delegatura";"ul.  Wrocławska";"53AB";"U4";"30-011";"19.92377212116231;50.079349624831366";"www.przedszkolefairplay.pl";"biuro@przedszkolefairplay.pl";"507513071";"16";"14";"0";"0";"0";"0";2200.0;0.0;;;;23.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-18:00 ";"NIE";"NIE";"PM & PM S.C. Magdalena Dubisz-Ucherska, Małgorzata Sas-Kusek";"Kraków-Podgórze, delegatura";"ul. Jana Dekerta";"24";;"30-703";"6832045200";"121064905";"1896/P";"www.przedszkolefairplay.pl"
"24320/Z";"Żłobek";"WIOSKOLANDIA";"MAZOWIECKIE";"sokołowski";"Sokołów Podlaski";"Sokołów Podlaski, miasto";"ul. Skłodowskiej-Curie";"1";"4";"08-300";"22.2358637;52.4079312";"www.wioskolandia.pl";"wioskolandia@gmail.com";"535062482";"27";"22";;;;;1500.0;0.0;;;;16.5;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"PK Piotr Kosiorek";"Sokołów Podlaski, miasto";"ul. Skłodowskiej-Curie";"1";"4";"08-300";"8231657879";"521698661";"25090/P";"www.wioskolandia.pl"
"24337/Z";"Klub dziecięcy";"Kraina Dzieciństwa w Łupowie";"LUBUSKIE";"gorzowski";"Bogdaniec";"Jenin, wieś";"ul. Lipowa";"12";;"66-450";"15.1219614;52.6985866";"https://krainadziecinstwa.pl/";"agaroman1@tlen.pl";"604508692";"16";"18";;;;;;0.0;;9.5;;20.1;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:45-16:15 ";"NIE";"NIE";"Kraina Dzieciństwa Agnieszka Dowejko";;;;;;"5992144382";"522708485";"25088/P";"https://krainadziecinstwa.pl/"
"24338/Z";"Żłobek";"Oddział przy ul. Dobrej Żłobka Miejskiego z siedzibą przy ul. Jankowskiego 10a";"WIELKOPOLSKIE";"ostrowski";"Ostrów Wielkopolski";"Ostrów Wielkopolski, miasto";"ul. Dobra";"14";;"63-400";;"www.zlobekostrow.pl";"sekretariat@zlobekostrow.pl";"627369600";"72";"72";;;;;1500.0;0.0;;;;4.5;1650.37;71.55;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:30 ";"TAK";"NIE";"Gmina Miasto Ostrów Wielkopolski";"Ostrów Wielkopolski, miasto";"al.  Aleja Powstańców Wlkp.";"18";;"63-400";"6222384323";"250855512";"2587/P";"www.umostrow.pl"
"2433/Z";"Żłobek";"Miejski Żłobek Nr 1";"WARMIŃSKO-MAZURSKIE";"ełcki";"Ełk";"Ełk, miasto";"ul. Piękna";"20";;"19-300";"22.36165375730769;53.80858995";"https://zespolzlobkow.bip.elk.pl";"zlobek@zlobek.elk.pl";"877326796";"152";"127";"0";"0";"0";"0";1500.0;0.0;50.0;;;10.0;2068.0;260.99;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"TAK";"NIE";"Gmina Miasto Ełk";"Ełk, miasto";"ul. marsz. Józefa Piłsudskiego";"4";;"19-300";"8481825438";"790671076";"369/P";"www.elk.pl"
"24340/Z";"Żłobek";"Prywatny Żłobek Planeta Wyobraźni""";"WIELKOPOLSKIE";"poznański";"Swarzędz";"Swarzędz, miasto";"ul. Armii Poznań";"62";;"62-020";"17.065812165352813;52.39534195";"www.planetawyobrazni.com";"biuro@planetawyobrazni.com";"+48570632500";"31";"20";;;;;2050.0;0.0;;;;17.0;;;"Zniżka - ulga organu prowadzącego  150 zł: 7.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-18:00 ";"NIE";"NIE";"PRZEDSZKOLE ""PLANETA WYOBRAŹNI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Swarzędz, miasto";"ul. Armii Poznań";"62";;"62-020";"7773411909";"526403216";"33355/P";
"24342/Z";"Żłobek";"Żłobek Niepubliczny U Cioci POLI";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice, miasto";"ul. Obroki";"77";;"40-833";"18.976953420957706;50.2672132";"uciocipoli.pl";"agalew74@vp.pl";"888544770";"50";"45";;;;;1800.0;0.0;;;;17.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-18:00 ";"TAK";"NIE";"Firma Handlowo Usługowa ""POLA"" Agnieszka Lewandowska";;;;;;"9511571180";"016079615";"3518/P";
"2434/Z";"Żłobek";"Żłobek nr 1";"OPOLSKIE";"kędzierzyńsko-kozielski";"Kędzierzyn-Koźle";"Kędzierzyn-Koźle, miasto";"ul. Filtrowa";"13";;"47-200";;"http://zlobek1-kozle.pl/";"zlobek1@kedzierzynkozle.pl";"774823454";"60";"41";;;;;1500.0;0.0;86.0;;;8.0;1749.0;246.0;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ";"NIE";"NIE";"Gmina Kędzierzyn-Koźle";"Kędzierzyn-Koźle, miasto";"ul. Grzegorza Piramowicza";"32";;"47-200";"7492055601";"531412912";"346/P";
"2435/Z";"Żłobek";"Żłobek ""Świat do 3 lat"" Anna Gawinek";"OPOLSKIE";"krapkowicki";"Krapkowice";"Krapkowice, miasto";"os.  Osiedle Sady";"1";;"47-303";"17.96758327434606;50.49651279051665";"www.swiatdo3lat.pl";"biuro@swiatdo3lat.pl";"608308868";"30";"27";"0";"0";"0";"0";2100.0;0.0;20.0;;;17.5;;;"Zniżka - za nieobecność dziecka minimum 15 dni roboczych w miesiącu: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-16:30 ";"NIE";"NIE";"Żłobek ""Świat do 3 lat"" Anna Gawinek";"Krapkowice, miasto";"os.  Osiedle Sady";"1";;"47-303";"7551725406";"160364548";"11910/P";"www.swiatdo3lat.pl"
"2436/Z";"Żłobek";"Żłobek Gminny w Branicach";"OPOLSKIE";"głubczycki";"Branice";"Branice, wieś";"ul. 1 Maja";"8";;"48-140";"17.793589;50.052275";;"majka29@poczta.onet.eu";"774868370";"20";"16";;;;;315.0;0.0;;;176.0;;1436.0;86.0;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 50.0% Zniżka - Samotne wychowanie dziecka: 50.0% Zniżka - Dochód rodzinny: 50.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-15:30 ";"NIE";"NIE";"Gmina Branice";"Branice";"Słowackiego";"3";;"48-140";"7481518612";"531412852";"3061/P";
"24377/Z";"Żłobek";"Niepubliczny Żłobek Kacperek";"WIELKOPOLSKIE";"Poznań";"Poznań-Nowe Miasto";"Poznań-Nowe Miasto, delegatura";"ul. Jarosławska";"14";;"61-321";"16.98848426342011;52.33970825429643";"www.zlobekkacperek.pl";"kontakt@zlobekkacperek.pl";"536902666";"56";"52";;;;;2000.0;0.0;25.0;;;20.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"NIE";"Vendisto Jarosław Zyprych";"Poznań-Nowe Miasto, delegatura";"ul. Jarosławska";"14";;"61-321";"7821690096";"302004560";"25109/P";"www.vendisto.pl"
"24379/Z";"Żłobek";"Przedszkole Gminne z Oddziałem Żłobkowym w Tolko";"WARMIŃSKO-MAZURSKIE";"bartoszycki";"Bartoszyce";"Tolko, osada";;"1";;"11-200";"20.710823603320197;54.24409715";;"przedszkole-tolko@gmina-bartoszyce.pl";"530141976";"4";"4";;;;;400.0;0.0;;;;8.9;2553.13;374.48;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-15:30 ";"TAK";"NIE";"Gmina Bartoszyce";"Bartoszyce, miasto";"pl. Plac Zwycięstwa";"2";;"11-200";"7431970669";"510742920";"25148/P";"http://gmina-bartoszyce.pl"
"2437/Z";"Żłobek";"Katolicki Żłobek Publiczny Sióstr Maryi Niepokalnej im. Jana Pawła II w Branicach";"OPOLSKIE";"głubczycki";"Branice";"Branice";"Szpitalna";"6";;"48-140";"17.797263;50.053255";;"biuro@przedszkolebranice.pl";"774860988";"26";"22";"0";"0";"0";"0";150.0;0.0;;;126.0;;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-15:30 ";"NIE";"NIE";"Zgromadzenie Sióstr Maryi Niepokalanej Prowicja Polska";"Wrocław-Śródmieście, delegatura";"ul. kard. Bolesława Kominka";"3-5";;"50-329";;"022360508";"429/P";
"24380/Z";"Żłobek";"Niepubliczny Żłobek Małe Nutki";"OPOLSKIE";"Opole";"Opole";"Opole, miasto";"ul.  Dworcowa";"1-1A";;"45-940";"17.7170433;51.0748267";"www.malenutki.pl";"dyrektor.zlobka@malenutki.pl";"730191936";"25";"25";"0";"0";"0";"0";2200.0;0.0;50.0;;;17.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 4.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 4.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"NIE";"Joanna Kasprzak-Dżyberti MAŁE NUTKI";;;;;;"9910015931";"160040805";"2713/P";"https://malenutki.pl/"
"24381/Z";"Żłobek";"Niepubliczny Żłobek Pysie Misie Marcelina Sieletycka";"WIELKOPOLSKIE";"poznański";"Tarnowo Podgórne";"Lusówko, wieś";"ul. Tarnowska";"2H";"5";"62-080";"16.64727;52.42927";;"marcelina.sieletycka@wp.pl";"502773656";"14";"6";;;;;2200.0;0.0;40.0;;;20.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Niepubliczny Żłobek Pysie Misie Marcelina Sieletycka";;;;;;"7861686468";"360996673";"25051/P";
"24382/Z";"Żłobek";"Niepubliczny Żłobek Pysie Misie Marcelina Sieletycka";"WIELKOPOLSKIE";"poznański";"Tarnowo Podgórne";"Lusówko, wieś";"ul. Tarnowska";"2G";"3";"62-080";"16.64699;52.42957";;"marcelina.sieletycka@wp.pl";"502773656";"15";"10";;;;;2200.0;0.0;40.0;;;20.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Niepubliczny Żłobek Pysie Misie Marcelina Sieletycka";;;;;;"7861686468";"360996673";"25051/P";
"24383/Z";"Żłobek";"Niepubliczny Żłobek Pysie Misie Marcelina Sieletycka";"WIELKOPOLSKIE";"poznański";"Tarnowo Podgórne";"Lusówko, wieś";"ul. Tarnowska";"2G";"2";"62-080";"16.64699;52.42957";;"marcelina.sieletycka@wp.pl";"502773656";"15";"9";;;;;2200.0;0.0;40.0;;;20.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Niepubliczny Żłobek Pysie Misie Marcelina Sieletycka";;;;;;"7861686468";"360996673";"25051/P";
"2438/Z";"Żłobek";"Żłobek ""Bajkowa Kraina""";"OPOLSKIE";"krapkowicki";"Krapkowice";"Krapkowice, miasto";"ul. Księdza Duszy";"1";;"47-303";"17.9623442831074;50.489356188264736";"www.bajkowa-kraina.opole.pl";"venazoz@o2.pl";"774465961";"58";"58";;;;;2100.0;0.0;;;;15.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:30 ";"NIE";"NIE";"Niepubliczny Zakład Opieki Zdrowotnej ""Vena"" S.C. - Usługi Pielęgniarskie";"Krapkowice, miasto";"os.  Osiedle XXX Lecia";"17";;"47-303";"7551751326";"531667492";"418/P";
"24398/Z";"Żłobek";"Niepubliczny Żłobek Zaczarowany Ogródek";"POMORSKIE";"Gdynia";"Gdynia";"Gdynia, miasto";"ul.  Okrężna";"1a";;"81-601";"18.47114868909203;54.50064485";"zaczarowany-ogródek.pl";"wiszacy-ogrodek@wp.pl";"506565651";"23";"14";"0";"0";"0";"0";1800.0;0.0;;;;18.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"FUN LAB s.c Joanna Jaworska Anna Pajewska";"Gdańsk, miasto";"ul.  Przytulna";"15a";"2";"80-176";"9571088412";"365146590";"7242/P";"www.wiszacy-ogrodek.pl"
"24399/Z";"Żłobek";"Złobek Brain Faktor Anna Szymanowska";"DOLNOŚLĄSKIE";"Wrocław";"Wrocław-Krzyki";"Wrocław-Krzyki, delegatura";"ul. Bartłomieja Strachowskiego";"28";;"52-210";"16.9976665;51.0611197";"www.brainfaktor.com";"biuro@brainfaktor.com";"880101113";"17";"18";"0";"0";"0";"0";2150.0;0.0;;;;23.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Żłobek Brain Faktor Anna Szymanowska";"Wrocław-Krzyki, delegatura";"ul. Bartłomieja Strachowskiego";"28";;"52-210";"8981859417";"521279697";"25113/P";"www.brainfaktor.com"
"2439/Z";"Żłobek";"Żłobek ""Kraina Skrzatów""";"OPOLSKIE";"krapkowicki";"Krapkowice";"Krapkowice, miasto";"ul. Opolska";"79";;"47-300";"17.959539085176363;50.48167068320325";"www.krainaskrzatow.eu";"biuro@krainaskrzatow.eu";"607963770";"56";"50";;;;;2100.0;0.0;50.0;;;16.5;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"NIE";"Teresa Gola-Nogaj";"Krapkowice, miasto";"ul. Opolska";"79";;"47-300";"7561700684";"160351340";"11913/P";"krainaskrzatow.eu"
"24400/Z";"Żłobek";"Wpływ Natury Edukacja Naturalna";"POMORSKIE";"gdański";"Kolbudy";"Lublewo Gdańskie, wieś";"ul.  Kwiatowa";"1";;"83-050";"18.5199307;54.2918164";"akademiamalucha.gda.pl";"wplywnatury@gmail.com";"570065095";"56";"38";"0";"0";"0";"0";2200.0;0.0;;;;22.0;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"NIE";"Akademia Malucha Emilia Klimczak";;;;;;"5842625430";"221865772";"622/P";"www.akademiamalucha.gda.pl"
"2440/Z";"Żłobek";"Żłobek nr 3";"OPOLSKIE";"kędzierzyńsko-kozielski";"Kędzierzyn-Koźle";"Kędzierzyn-Koźle, miasto";"ul. Piotra Skargi";"25";;"47-224";"18.19783;50.33742";"www.zlobek3.szkolnastrona.pl";"dyrektorzlobek3@kedzierzynkozle.pl";"774832411";"100";"62";;;;;1500.0;0.0;86.0;;;9.0;2044.0;238.0;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ";"TAK";"NIE";"Gmina Kędzierzyn-Koźle";"Kędzierzyn-Koźle, miasto";"ul. Grzegorza Piramowicza";"32";;"47-200";"7492055601";"531412912";"346/P";
"2441/Z";"Żłobek";"Żłobek nr 6";"OPOLSKIE";"kędzierzyńsko-kozielski";"Kędzierzyn-Koźle";"Kędzierzyn-Koźle, miasto";"ul. 1 Maja";"7";;"47-220";"18.216797;50.343883";"www.zlobeknr6.pl";"dyrektorzlobek6@kedzierzynkozle.pl";"774833734";"97";"73";;;;;1500.0;0.0;86.0;;;9.0;2256.0;251.0;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ";"NIE";"NIE";"Gmina Kędzierzyn-Koźle";"Kędzierzyn-Koźle, miasto";"ul. Grzegorza Piramowicza";"32";;"47-200";"7492055601";"531412912";"346/P";
"2442/Z";"Żłobek";"Żłobek nr 10";"OPOLSKIE";"kędzierzyńsko-kozielski";"Kędzierzyn-Koźle";"Kędzierzyn-Koźle, miasto";"ul. Kazimierza Wielkiego";"6";;"47-232";"18.22892;50.34932";"www.zlobek10.pl";"dyrektorzlobek10@kedzierzynkozle.pl";"774723118";"32";"19";"0";"0";"0";"0";1500.0;0.0;86.0;;;9.0;3964.0;391.0;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ";"NIE";"NIE";"Gmina Kędzierzyn-Koźle";"Kędzierzyn-Koźle, miasto";"ul. Grzegorza Piramowicza";"32";;"47-200";"7492055601";"531412912";"346/P";
"24437/Z";"Żłobek";"ŻŁOBEK NIEPUBLICZNY ""MICHAŁEK""";"MAZOWIECKIE";"miński";"Mińsk Mazowiecki";"Mińsk Mazowiecki, miasto";"ul. Jana Łupińskiego";"4";;"05-300";"21.588404260245206;52.17332965";"WWW.ZLOBEKMICHALEK.PL";"BIURO@ZLOBEKMICHALEK.PL";"604515306";"25";"25";;;;;1900.0;0.0;;;;17.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"TAK";"NIE";"ELŻBIETA NOWICKA";;;;;;"8221009185";"710328188";"25188/P";"WWW.ZLOBEKMICHALEK.PL"
"2443/Z";"Żłobek";"Niepubliczny Żłobek ""SUCHOBOREK""";"OPOLSKIE";"opolski";"Chrząstowice";"Suchy Bór";"ul. Leśna";"9";;"46-053";"18.0368525;50.6572524";"www.suchoborek.szkolnastrona.pl";"zlobek-suchoborek@wp.pl";"774592433";"31";"26";"0";"0";"0";"0";1900.0;0.0;35.0;;;17.5;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"NIE";"Ewelina Kicia";;;;;;"6141438109";"160394354";"371/P";"www.suchoborek.szkolnastrona.pl"
"24458/Z";"Żłobek";"Niepubliczny Żłobek Fantazja - Morena";"POMORSKIE";"Gdańsk";"Gdańsk";"Gdańsk, miasto";"ul.  Piecewska";"31";;"80-288";"18.582160100000003;54.358835299999996";"www.przedszkolefantazja.pl";"sekretariat@przedszkolefantazja.pl";"790466366";"45";"45";"0";"0";"0";"0";1990.0;0.0;;;;19.9;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"Fantazja Edyta Romanowska";;;;;;"5821435285";"220762366";"592/P";"www.przedszkolefantazja.pl"
"24459/Z";"Żłobek";"Żłobek Zielone Sady";"ŚLĄSKIE";"Zabrze";"Zabrze";"Zabrze, miasto";"ul. Wolności";"199";"-";"41-800";"18.8328088;50.2980203";"www.zabrzezielonesady.pl";"dyrektor@zielonesady.pl";"536459276";"54";"30";;;;;2200.0;0.0;40.0;;;20.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"NIE";"Decopatronum Sp. z o.o.";"Kraków-Nowa Huta, delegatura";"ul. Odmętowa";"97";"-";"31-979";"6751737980";"387455380";"25230/P";"-"
"24461/Z";"Żłobek";"Żłobek Radosne Brzdące";"MAŁOPOLSKIE";"Kraków";"Kraków-Podgórze";"Kraków-Podgórze, delegatura";"ul. Przewóz";"40";;"30-716";"19.99620288489347;50.041110849999995";"zlobekradosnebrzdace.pl";"dyrektor@zlobekradosnebrzdace.pl";"530393605";"28";"27";;;;;2350.0;0.0;40.0;;;20.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"RADOSNE BRZDĄCE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Kraków-Krowodrza, delegatura";"ul. Bronowicka";"86";"2";"30-091";"6772482717";"522872782";"25232/P";"www.zlobekradosnebrzdace.pl"
"24462/Z";"Żłobek";"Żłobek Tygrysek";"MAŁOPOLSKIE";"wielicki";"Niepołomice";"Staniątki, wieś";;"699";;"32-005";"20.1941445;50.0106406";"www.przedszkoleniepolomice.pl";"poczta.tygrysek@gmail.com";"501616783";"41";"21";;;;;1600.0;0.0;;;;19.0;;;"Zniżka - zniżka na wyżywienie dla kolejnego dziecka z rodziny: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"NIE";"Fundacja Ruchu i Promocji Zdrowia";"Niepołomice, miasto";"ul. Grunwaldzka";"15D";;"32-005";"6831984930";"120307501";"25211/P";"www.przedszkoleniepolomice.pl"
"24463/Z";"Żłobek";"Żłobek Familijny";"PODLASKIE";"Białystok";"Białystok";"Białystok, miasto";"ul. Akademicka";"2";;"15-267";"23.159459449282114;53.13008069999999";"https://www.ster.bialystok.pl";"kontakt@ster.bialystok.pl";"570555445";"11";"6";;;;;1500.0;0.0;;;;10.0;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-16:30 ";"TAK";"NIE";"Stowarzyszenie Wspierania Edukacji i Rodziny STER";"Białystok, miasto";"ul. Jurowiecka";"56";;"15-101";"9662091986";;"25234/P";"https://www.ster.bialystok.pl"
"24464/Z";"Klub dziecięcy";"KLUB DZIECIĘCY W SALI ZABAW KRATKA";"KUJAWSKO-POMORSKIE";"nakielski";"Nakło nad Notecią";"Nakło nad Notecią, miasto";"ul.  Przecznica";"1";;"89-100";"17.61165;53.14243";;"tbialkowski@wpl.pl";"509070566";"25";;"0";"0";"0";"0";600.0;0.0;;;;12.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-12:00 ";"TAK";"NIE";"Tomasz Białkowski";;;;;;"5581590045";"093037522";"25237/P";
"24466/Z";"Klub dziecięcy";"KLUB DZIECIĘCY ""BOJSZOWIACZEK""";"ŚLĄSKIE";"bieruńsko-lędziński";"Bojszowy";"Bojszowy, wieś";"ul. Świętego Jana";"33";;"43-220";"19.09801993990981;50.056846050000004";"cus.bojszowy.pl";"kontakt@cus.bojszowy.pl";"323289305";"16";"7";;;;;1500.0;0.0;;;;11.5;871.0;154.99;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-16:00 ";"TAK";"NIE";"Centrum Usług Społecznych w Bojszowach";"Bojszowy Nowe, wieś";"ul. Ruchu Oporu";"100";;"43-220";"6462620680";"278164499";"25238/P";"cus.bojszowy.pl"
"2446/Z";"Żłobek";"Żłobek Samorządowy w Zdzieszowicach";"OPOLSKIE";"krapkowicki";"Zdzieszowice";"Zdzieszowice, miasto";"ul. Piastów";"20";"1";"47-330";"18.118182787670527;50.4253588";"www.zlobek.eu";"zlobek@zlobek.eu";"774842630";"60";"60";"0";"0";"0";"0";1500.0;0.0;100.0;;;8.0;1969.71;352.63;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ";"NIE";"NIE";"Gmina Zdzieszowice";"Zdzieszowice";"Bolesława Chrobrego";"34";;"47-330";"1990004025";"531413120";"372/P";"zdzieszowice.pl"
"24478/Z";"Żłobek";"NIEPUBLICZNY ŻŁOBEK PLANETA MALUCHA";"DOLNOŚLĄSKIE";"świdnicki";"Świdnica";"Świdnica, miasto";"ul. Kazimierza Odnowiciela";"22";;"58-100";"16.4827477;50.8580799";;"zlobekplanetamalucha@gmail.com";"746000277";"25";"17";;;;;980.0;0.0;;;;16.0;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"NIE";"ARTE Sp. z o.o";"Świdnica, miasto";"ul. Kazimierza Odnowiciela";"22";;"58-100";"8842748016";"022152052";"25210/P";
